model_version,completion_rate,rounds,kl,task_count
70.0,0.4375,19.6875,187.85524089363832,16.0
71.0,0.3125,22.9375,247.50723777632766,16.0
73.0,0.625,15.75,175.65542432631017,16.0
74.0,0.625,15.4375,185.2978830429355,16.0
76.0,0.4375,19.75,182.70909574132338,16.0
77.0,0.3125,23.8125,224.67410091978826,16.0
79.0,0.4375,20.1875,200.49993910291866,16.0
80.0,0.5,18.8125,205.14774752423716,16.0
82.0,0.625,15.9375,200.24034825720645,16.0
83.0,0.4375,19.6875,218.32375217085377,16.0
85.0,0.4375,20.5,178.22468145777867,16.0
86.0,0.25,24.125,202.28266513897913,16.0
88.0,0.625,15.4375,172.24178170615988,16.0
89.0,0.4375,20.5625,212.8941416942475,16.0
91.0,0.5625,17.625,161.09534445934318,16.0
92.0,0.1875,25.5,199.03250453492402,16.0
94.0,0.375,21.4375,208.32589940297595,16.0
95.0,0.375,21.6875,198.593424767366,16.0
97.0,0.5,18.75,168.0204581828719,16.0
98.0,0.4375,19.3125,145.44858210738988,16.0
100.0,0.625,15.875,152.8209154431512,16.0
101.0,0.3125,22.4375,157.82655278513698,16.0
103.0,0.375,21.625,186.99663103471556,16.0
104.0,0.4375,20.5625,188.38263583950913,16.0
105.0,0.1875,26.125,197.1399748947353,16.0
107.0,0.5,19.4375,217.32189737689433,16.0
108.0,0.4375,21.1875,244.45390926404528,16.0
110.0,0.6875,14.0625,141.2201964476822,16.0
111.0,0.6875,15.5625,171.27476818070863,16.0
113.0,0.625,15.5625,167.10081099212005,16.0
115.0,0.5625,18.0,169.55600288920385,16.0
116.0,0.5625,17.75,148.47076795183088,16.0
118.0,0.625,16.3125,157.73135073164573,16.0
119.0,0.5,18.6875,178.91360208903737,16.0
120.0,0.5625,18.5,159.7554827802936,16.0
121.0,0.5625,17.75,149.90204674486415,16.0
123.0,0.75,13.3125,122.22255035466151,16.0
124.0,0.8125,11.4375,106.9924215683702,16.0
126.0,0.5,18.625,144.22084275902554,16.0
127.0,0.8125,12.0,111.48373440806608,16.0
129.0,0.8125,11.6875,119.71996359048532,16.0
130.0,0.5625,17.25,119.74704234394721,16.0
132.0,0.5625,18.1875,164.57776755508013,16.0
133.0,0.75,13.3125,147.19494129959844,16.0
135.0,0.5625,17.9375,127.02363989557433,16.0
136.0,0.75,13.375,120.05535279039567,16.0
138.0,0.6875,14.0625,109.16572508264964,16.0
139.0,0.75,14.1875,112.0182827261794,16.0
141.0,0.625,16.5,115.30210930513908,16.0
142.0,0.75,12.3125,124.67704969231556,16.0
144.0,0.75,13.8125,126.61544204250762,16.0
145.0,0.75,13.875,103.81510194560008,16.0
147.0,0.5,18.5625,132.3013592314402,16.0
148.0,0.6875,15.25,98.0684989858743,16.0
150.0,0.625,16.6875,89.79600688482122,16.0
151.0,0.625,16.1875,116.07897369323557,16.0
153.0,0.5,18.3125,120.16340599811937,16.0
154.0,0.625,16.25,99.38631636182504,16.0
156.0,0.75,13.6875,105.81921808965852,16.0
157.0,0.625,16.25,115.23321482221363,16.0
159.0,0.6875,15.1875,104.1454749446674,16.0
160.0,0.75,12.1875,93.62144882109399,16.0
162.0,0.625,15.3125,113.28624497584592,16.0
163.0,0.8125,12.4375,94.27579105833854,16.0
165.0,0.75,11.9375,94.53046894784637,16.0
166.0,0.75,13.625,77.13210782094484,16.0
167.0,0.75,13.9375,102.42602123241,16.0
169.0,0.6875,14.125,87.59302036659557,16.0
170.0,0.8125,11.25,76.6119509410582,16.0
172.0,0.625,15.6875,82.37516794908149,16.0
173.0,0.6875,13.5,71.2934744610524,16.0
175.0,0.8125,12.0625,101.33653179905377,16.0
176.0,0.6875,13.875,95.31344328738075,16.0
178.0,0.625,16.0,102.37761468833159,16.0
179.0,0.75,13.125,79.47442846807326,16.0
181.0,0.8125,12.9375,98.41404301517437,16.0
182.0,0.75,12.5625,85.50340383004949,16.0
184.0,0.5625,17.25,85.60079831570319,16.0
185.0,0.75,12.9375,109.42690431238563,16.0
187.0,0.875,10.125,90.58280313682229,16.0
188.0,0.875,9.9375,75.11352310422808,16.0
190.0,0.875,10.75,80.75873513913348,16.0
191.0,0.4375,19.8125,140.52310264241055,16.0
193.0,0.875,9.3125,63.52693203957159,16.0
195.0,0.75,12.9375,86.36957202664098,16.0
197.0,0.8125,11.75,82.2754498470745,16.0
198.0,0.9375,9.375,79.43271033649421,16.0
200.0,0.8125,11.5625,96.39972796780123,16.0
201.0,0.9375,9.1875,82.19802303975848,16.0
203.0,0.625,16.0625,98.33596446894737,16.0
204.0,0.875,10.875,65.89889680881996,16.0
206.0,0.9375,8.1875,51.02276699096533,16.0
207.0,0.9375,8.1875,59.736225001499406,16.0
209.0,0.8125,11.5625,82.2224435058165,16.0
210.0,0.75,13.375,56.172264419897616,16.0
212.0,0.9375,8.75,76.4427889973158,16.0
213.0,0.9375,8.5625,64.96030645247083,16.0
215.0,0.75,12.8125,78.3065434155643,16.0
216.0,0.75,13.4375,71.78351239347525,16.0
218.0,0.8125,11.1875,75.2487067352437,16.0
219.0,0.8125,11.25,76.79544568608486,16.0
221.0,0.75,12.5625,76.3120966257377,16.0
222.0,0.75,13.375,86.48159420210868,16.0
224.0,0.6875,15.0625,61.19327938525589,16.0
225.0,0.6875,14.25,70.185380481283,16.0
227.0,0.75,12.9375,67.53993986266849,16.0
228.0,0.8125,11.8125,70.94133128010432,16.0
230.0,0.625,14.9375,82.4400078213573,16.0
231.0,0.75,13.4375,84.70940839638962,16.0
233.0,0.875,9.375,62.334998719858845,16.0
234.0,0.6875,15.125,118.67469752194916,16.0
236.0,0.625,16.5,105.11441941160408,16.0
237.0,0.5625,16.5625,70.55386123406154,16.0
239.0,0.6875,13.625,66.80710583459427,16.0
240.0,0.9375,8.6875,63.56231471189676,16.0
242.0,0.75,13.5,79.57841025389577,16.0
243.0,0.875,9.75,57.32704916126909,16.0
245.0,0.6875,14.4375,74.06397894791746,16.0
246.0,0.8125,12.125,60.07398519286011,16.0
248.0,0.8125,10.9375,52.89238705347461,16.0
