method,explorer_batch,task_in_batch,run_id,trajectory_id,effective_loss_turns,recorded_turns,prompt_truncated,training_order
Vanilla OPD,7,0,0,7/0/0,18,30,True,97
Vanilla OPD,7,1,0,7/1/0,14,30,True,98
Vanilla OPD,7,2,0,7/2/0,16,30,True,99
Vanilla OPD,7,3,0,7/3/0,16,30,True,100
Vanilla OPD,7,4,0,7/4/0,12,30,True,101
Vanilla OPD,7,5,0,7/5/0,18,30,True,102
Vanilla OPD,7,6,0,7/6/0,15,30,True,103
Vanilla OPD,7,7,0,7/7/0,12,30,True,104
Vanilla OPD,7,8,0,7/8/0,20,30,True,105
Vanilla OPD,7,9,0,7/9/0,20,30,True,106
Vanilla OPD,7,10,0,7/10/0,13,30,True,107
Vanilla OPD,7,11,0,7/11/0,16,30,True,108
Vanilla OPD,7,12,0,7/12/0,15,30,True,109
Vanilla OPD,7,13,0,7/13/0,15,30,True,110
Vanilla OPD,7,14,0,7/14/0,19,30,True,111
Vanilla OPD,7,15,0,7/15/0,16,30,True,112
Vanilla OPD,8,0,0,8/0/0,19,30,True,113
Vanilla OPD,8,1,0,8/1/0,20,30,True,114
Vanilla OPD,8,2,0,8/2/0,15,30,True,115
Vanilla OPD,8,3,0,8/3/0,22,30,True,116
Vanilla OPD,8,4,0,8/4/0,23,30,True,117
Vanilla OPD,8,5,0,8/5/0,20,30,True,118
Vanilla OPD,8,6,0,8/6/0,20,30,True,119
Vanilla OPD,8,7,0,8/7/0,13,30,True,120
Vanilla OPD,8,8,0,8/8/0,10,10,False,121
Vanilla OPD,8,9,0,8/9/0,16,30,True,122
Vanilla OPD,8,10,0,8/10/0,17,30,True,123
Vanilla OPD,8,11,0,8/11/0,22,30,True,124
Vanilla OPD,8,12,0,8/12/0,15,30,True,125
Vanilla OPD,8,13,0,8/13/0,20,30,True,126
Vanilla OPD,8,14,0,8/14/0,7,7,False,127
Vanilla OPD,8,15,0,8/15/0,14,30,True,128
Vanilla OPD,9,0,0,9/0/0,23,30,True,129
Vanilla OPD,9,1,0,9/1/0,17,30,True,130
Vanilla OPD,9,2,0,9/2/0,21,30,True,131
Vanilla OPD,9,3,0,9/3/0,18,30,True,132
Vanilla OPD,9,4,0,9/4/0,14,30,True,133
Vanilla OPD,9,5,0,9/5/0,21,30,True,134
Vanilla OPD,9,6,0,9/6/0,16,30,True,135
Vanilla OPD,9,7,0,9/7/0,18,30,True,136
Vanilla OPD,9,8,0,9/8/0,11,11,False,137
Vanilla OPD,9,9,0,9/9/0,6,6,False,138
Vanilla OPD,9,10,0,9/10/0,21,30,True,139
Vanilla OPD,9,11,0,9/11/0,5,5,False,140
Vanilla OPD,9,12,0,9/12/0,22,30,True,141
Vanilla OPD,9,13,0,9/13/0,18,30,True,142
Vanilla OPD,9,14,0,9/14/0,15,30,True,143
Vanilla OPD,9,15,0,9/15/0,21,30,True,144
Vanilla OPD,10,0,0,10/0/0,22,30,True,145
Vanilla OPD,10,1,0,10/1/0,15,30,True,146
Vanilla OPD,10,2,0,10/2/0,18,30,True,147
Vanilla OPD,10,3,0,10/3/0,18,30,True,148
Vanilla OPD,10,4,0,10/4/0,22,30,True,149
Vanilla OPD,10,5,0,10/5/0,15,30,True,150
Vanilla OPD,10,6,0,10/6/0,21,30,True,151
Vanilla OPD,10,7,0,10/7/0,23,30,True,152
Vanilla OPD,10,8,0,10/8/0,18,30,True,153
Vanilla OPD,10,9,0,10/9/0,15,30,True,154
Vanilla OPD,10,10,0,10/10/0,24,24,False,155
Vanilla OPD,10,11,0,10/11/0,15,30,True,156
Vanilla OPD,10,12,0,10/12/0,7,7,False,157
Vanilla OPD,10,13,0,10/13/0,4,4,False,158
Vanilla OPD,10,14,0,10/14/0,17,30,True,159
Vanilla OPD,10,15,0,10/15/0,16,30,True,160
Vanilla OPD,11,0,0,11/0/0,23,30,True,161
Vanilla OPD,11,1,0,11/1/0,24,30,True,162
Vanilla OPD,11,2,0,11/2/0,22,30,True,163
Vanilla OPD,11,3,0,11/3/0,18,30,True,164
Vanilla OPD,11,4,0,11/4/0,14,30,True,165
Vanilla OPD,11,5,0,11/5/0,20,20,False,166
Vanilla OPD,11,6,0,11/6/0,16,30,True,167
Vanilla OPD,11,7,0,11/7/0,14,30,True,168
Vanilla OPD,11,8,0,11/8/0,20,30,True,169
Vanilla OPD,11,9,0,11/9/0,16,30,True,170
Vanilla OPD,11,10,0,11/10/0,15,30,True,171
Vanilla OPD,11,11,0,11/11/0,22,30,True,172
Vanilla OPD,11,12,0,11/12/0,15,30,True,173
Vanilla OPD,11,13,0,11/13/0,18,30,True,174
Vanilla OPD,11,14,0,11/14/0,24,30,True,175
Vanilla OPD,11,15,0,11/15/0,17,30,True,176
Vanilla OPD,12,0,0,12/0/0,23,30,True,177
Vanilla OPD,12,1,0,12/1/0,21,30,True,178
Vanilla OPD,12,2,0,12/2/0,16,30,True,179
Vanilla OPD,12,3,0,12/3/0,19,30,True,180
Vanilla OPD,12,4,0,12/4/0,23,30,True,181
Vanilla OPD,12,5,0,12/5/0,20,30,True,182
Vanilla OPD,12,6,0,12/6/0,17,30,True,183
Vanilla OPD,12,7,0,12/7/0,19,30,True,184
Vanilla OPD,12,8,0,12/8/0,16,30,True,185
Vanilla OPD,12,9,0,12/9/0,19,30,True,186
Vanilla OPD,12,10,0,12/10/0,16,30,True,187
Vanilla OPD,12,11,0,12/11/0,6,6,False,188
Vanilla OPD,12,12,0,12/12/0,18,30,True,189
Vanilla OPD,12,13,0,12/13/0,21,30,True,190
Vanilla OPD,12,14,0,12/14/0,23,30,True,191
Vanilla OPD,12,15,0,12/15/0,23,30,True,192
Vanilla OPD,13,0,0,13/0/0,4,4,False,193
Vanilla OPD,13,1,0,13/1/0,14,30,True,194
Vanilla OPD,13,2,0,13/2/0,17,30,True,195
Vanilla OPD,13,3,0,13/3/0,23,30,True,196
Vanilla OPD,13,4,0,13/4/0,19,30,True,197
Vanilla OPD,13,5,0,13/5/0,29,30,True,198
Vanilla OPD,13,6,0,13/6/0,13,30,True,199
Vanilla OPD,13,7,0,13/7/0,16,30,True,200
Vanilla OPD,13,8,0,13/8/0,13,30,True,201
Vanilla OPD,13,9,0,13/9/0,21,30,True,202
Vanilla OPD,13,10,0,13/10/0,13,30,True,203
Vanilla OPD,13,11,0,13/11/0,16,30,True,204
Vanilla OPD,13,12,0,13/12/0,20,30,True,205
Vanilla OPD,13,13,0,13/13/0,15,30,True,206
Vanilla OPD,13,14,0,13/14/0,23,30,True,207
Vanilla OPD,13,15,0,13/15/0,23,30,True,208
Vanilla OPD,14,0,0,14/0/0,16,30,True,209
Vanilla OPD,14,1,0,14/1/0,26,30,True,210
Vanilla OPD,14,2,0,14/2/0,17,30,True,211
Vanilla OPD,14,3,0,14/3/0,16,30,True,212
Vanilla OPD,14,4,0,14/4/0,19,30,True,213
Vanilla OPD,14,5,0,14/5/0,19,30,True,214
Vanilla OPD,14,6,0,14/6/0,16,30,True,215
Vanilla OPD,14,7,0,14/7/0,20,30,True,216
Vanilla OPD,14,8,0,14/8/0,22,30,True,217
Vanilla OPD,14,9,0,14/9/0,18,30,True,218
Vanilla OPD,14,10,0,14/10/0,19,30,True,219
Vanilla OPD,14,11,0,14/11/0,22,30,True,220
Vanilla OPD,14,12,0,14/12/0,22,30,True,221
Vanilla OPD,14,13,0,14/13/0,17,30,True,222
Vanilla OPD,14,14,0,14/14/0,21,30,True,223
Vanilla OPD,14,15,0,14/15/0,21,30,True,224
Vanilla OPD,15,0,0,15/0/0,20,30,True,225
Vanilla OPD,15,1,0,15/1/0,22,30,True,226
Vanilla OPD,15,2,0,15/2/0,19,30,True,227
Vanilla OPD,15,3,0,15/3/0,15,30,True,228
Vanilla OPD,15,4,0,15/4/0,20,30,True,229
Vanilla OPD,15,5,0,15/5/0,21,30,True,230
Vanilla OPD,15,6,0,15/6/0,15,30,True,231
Vanilla OPD,15,7,0,15/7/0,24,30,True,232
Vanilla OPD,15,8,0,15/8/0,27,30,True,233
Vanilla OPD,15,9,0,15/9/0,20,30,True,234
Vanilla OPD,15,10,0,15/10/0,15,30,True,235
Vanilla OPD,15,11,0,15/11/0,16,30,True,236
Vanilla OPD,15,12,0,15/12/0,16,30,True,237
Vanilla OPD,15,13,0,15/13/0,21,21,False,238
Vanilla OPD,15,14,0,15/14/0,20,30,True,239
Vanilla OPD,15,15,0,15/15/0,16,30,True,240
Vanilla OPD,16,0,0,16/0/0,20,30,True,241
Vanilla OPD,16,1,0,16/1/0,16,30,True,242
Vanilla OPD,16,2,0,16/2/0,10,10,False,243
Vanilla OPD,16,3,0,16/3/0,15,30,True,244
Vanilla OPD,16,4,0,16/4/0,17,30,True,245
Vanilla OPD,16,5,0,16/5/0,19,30,True,246
Vanilla OPD,16,6,0,16/6/0,20,30,True,247
Vanilla OPD,16,7,0,16/7/0,10,10,False,248
Vanilla OPD,16,8,0,16/8/0,27,30,True,249
Vanilla OPD,16,9,0,16/9/0,17,30,True,250
Vanilla OPD,16,10,0,16/10/0,8,8,False,251
Vanilla OPD,16,11,0,16/11/0,21,21,False,252
Vanilla OPD,16,12,0,16/12/0,22,30,True,253
Vanilla OPD,16,13,0,16/13/0,14,30,True,254
Vanilla OPD,16,14,0,16/14/0,15,30,True,255
Vanilla OPD,16,15,0,16/15/0,16,30,True,256
Vanilla OPD,17,0,0,17/0/0,17,30,True,257
Vanilla OPD,17,1,0,17/1/0,27,30,True,258
Vanilla OPD,17,2,0,17/2/0,25,30,True,259
Vanilla OPD,17,3,0,17/3/0,8,8,False,260
Vanilla OPD,17,4,0,17/4/0,20,30,True,261
Vanilla OPD,17,5,0,17/5/0,15,30,True,262
Vanilla OPD,17,6,0,17/6/0,21,30,True,263
Vanilla OPD,17,7,0,17/7/0,17,30,True,264
Vanilla OPD,17,8,0,17/8/0,12,30,True,265
Vanilla OPD,17,9,0,17/9/0,4,4,False,266
Vanilla OPD,17,10,0,17/10/0,17,30,True,267
Vanilla OPD,17,11,0,17/11/0,10,10,False,268
Vanilla OPD,17,12,0,17/12/0,26,30,True,269
Vanilla OPD,17,13,0,17/13/0,23,30,True,270
Vanilla OPD,17,14,0,17/14/0,20,30,True,271
Vanilla OPD,17,15,0,17/15/0,17,30,True,272
Vanilla OPD,18,0,0,18/0/0,17,30,True,273
Vanilla OPD,18,1,0,18/1/0,22,30,True,274
Vanilla OPD,18,2,0,18/2/0,25,30,True,275
Vanilla OPD,18,3,0,18/3/0,27,30,True,276
Vanilla OPD,18,4,0,18/4/0,17,30,True,277
Vanilla OPD,18,5,0,18/5/0,19,30,True,278
Vanilla OPD,18,6,0,18/6/0,15,30,True,279
Vanilla OPD,18,7,0,18/7/0,17,30,True,280
Vanilla OPD,18,8,0,18/8/0,16,16,False,281
Vanilla OPD,18,9,0,18/9/0,26,30,True,282
Vanilla OPD,18,10,0,18/10/0,15,30,True,283
Vanilla OPD,18,11,0,18/11/0,24,30,True,284
Vanilla OPD,18,12,0,18/12/0,13,13,False,285
Vanilla OPD,18,13,0,18/13/0,24,30,True,286
Vanilla OPD,18,14,0,18/14/0,22,30,True,287
Vanilla OPD,18,15,0,18/15/0,17,30,True,288
Vanilla OPD,19,0,0,19/0/0,17,30,True,289
Vanilla OPD,19,1,0,19/1/0,14,30,True,290
Vanilla OPD,19,2,0,19/2/0,13,13,False,291
Vanilla OPD,19,3,0,19/3/0,17,30,True,292
Vanilla OPD,19,4,0,19/4/0,12,30,True,293
Vanilla OPD,19,5,0,19/5/0,12,30,True,294
Vanilla OPD,19,6,0,19/6/0,5,5,False,295
Vanilla OPD,19,7,0,19/7/0,24,30,True,296
Vanilla OPD,19,8,0,19/8/0,20,30,True,297
Vanilla OPD,19,9,0,19/9/0,12,30,True,298
Vanilla OPD,19,10,0,19/10/0,15,30,True,299
Vanilla OPD,19,11,0,19/11/0,19,30,True,300
Vanilla OPD,19,12,0,19/12/0,18,30,True,301
Vanilla OPD,19,13,0,19/13/0,15,30,True,302
Vanilla OPD,19,14,0,19/14/0,16,30,True,303
Vanilla OPD,19,15,0,19/15/0,22,30,True,304
Vanilla OPD,20,0,0,20/0/0,23,30,True,305
Vanilla OPD,20,1,0,20/1/0,12,12,False,306
Vanilla OPD,20,2,0,20/2/0,10,10,False,307
Vanilla OPD,20,3,0,20/3/0,16,30,True,308
Vanilla OPD,20,4,0,20/4/0,5,5,False,309
Vanilla OPD,20,5,0,20/5/0,27,30,True,310
Vanilla OPD,20,6,0,20/6/0,25,30,True,311
Vanilla OPD,20,7,0,20/7/0,23,30,True,312
Vanilla OPD,20,8,0,20/8/0,18,30,True,313
Vanilla OPD,20,9,0,20/9/0,19,19,False,314
Vanilla OPD,20,10,0,20/10/0,25,30,True,315
Vanilla OPD,20,11,0,20/11/0,6,6,False,316
Vanilla OPD,20,12,0,20/12/0,23,30,True,317
Vanilla OPD,20,13,0,20/13/0,23,30,True,318
Vanilla OPD,20,14,0,20/14/0,15,30,True,319
Vanilla OPD,20,15,0,20/15/0,4,4,False,320
Vanilla OPD,21,0,0,21/0/0,19,30,True,321
Vanilla OPD,21,1,0,21/1/0,7,7,False,322
Vanilla OPD,21,2,0,21/2/0,21,30,True,323
Vanilla OPD,21,3,0,21/3/0,13,30,True,324
Vanilla OPD,21,4,0,21/4/0,23,30,True,325
Vanilla OPD,21,5,0,21/5/0,13,13,False,326
Vanilla OPD,21,6,0,21/6/0,14,30,True,327
Vanilla OPD,21,7,0,21/7/0,16,30,True,328
Vanilla OPD,21,8,0,21/8/0,10,10,False,329
Vanilla OPD,21,9,0,21/9/0,19,30,True,330
Vanilla OPD,21,10,0,21/10/0,17,30,True,331
Vanilla OPD,21,11,0,21/11/0,18,30,True,332
Vanilla OPD,21,12,0,21/12/0,23,30,True,333
Vanilla OPD,21,13,0,21/13/0,18,18,False,334
Vanilla OPD,21,14,0,21/14/0,23,30,True,335
Vanilla OPD,21,15,0,21/15/0,8,8,False,336
Vanilla OPD,22,0,0,22/0/0,22,22,False,337
Vanilla OPD,22,1,0,22/1/0,24,30,True,338
Vanilla OPD,22,2,0,22/2/0,11,11,False,339
Vanilla OPD,22,3,0,22/3/0,12,30,True,340
Vanilla OPD,22,4,0,22/4/0,28,30,True,341
Vanilla OPD,22,5,0,22/5/0,17,17,False,342
Vanilla OPD,22,6,0,22/6/0,19,30,True,343
Vanilla OPD,22,7,0,22/7/0,15,15,False,344
Vanilla OPD,22,8,0,22/8/0,19,30,True,345
Vanilla OPD,22,9,0,22/9/0,7,7,False,346
Vanilla OPD,22,10,0,22/10/0,24,30,True,347
Vanilla OPD,22,11,0,22/11/0,24,30,True,348
Vanilla OPD,22,12,0,22/12/0,15,30,True,349
Vanilla OPD,22,13,0,22/13/0,12,30,True,350
Vanilla OPD,22,14,0,22/14/0,11,11,False,351
Vanilla OPD,22,15,0,22/15/0,23,30,True,352
Vanilla OPD,23,0,0,23/0/0,15,30,True,353
Vanilla OPD,23,1,0,23/1/0,15,30,True,354
Vanilla OPD,23,2,0,23/2/0,9,9,False,355
Vanilla OPD,23,3,0,23/3/0,22,30,True,356
Vanilla OPD,23,4,0,23/4/0,15,30,True,357
Vanilla OPD,23,5,0,23/5/0,4,4,False,358
Vanilla OPD,23,6,0,23/6/0,4,4,False,359
Vanilla OPD,23,7,0,23/7/0,25,30,True,360
Vanilla OPD,23,8,0,23/8/0,8,8,False,361
Vanilla OPD,23,9,0,23/9/0,23,30,True,362
Vanilla OPD,23,10,0,23/10/0,12,30,True,363
Vanilla OPD,23,11,0,23/11/0,16,30,True,364
Vanilla OPD,23,12,0,23/12/0,17,30,True,365
Vanilla OPD,23,13,0,23/13/0,24,30,True,366
Vanilla OPD,23,14,0,23/14/0,18,18,False,367
Vanilla OPD,23,15,0,23/15/0,12,30,True,368
Vanilla OPD,24,0,0,24/0/0,25,30,True,369
Vanilla OPD,24,1,0,24/1/0,23,30,True,370
Vanilla OPD,24,2,0,24/2/0,18,30,True,371
Vanilla OPD,24,3,0,24/3/0,15,30,True,372
Vanilla OPD,24,4,0,24/4/0,15,30,True,373
Vanilla OPD,24,5,0,24/5/0,16,30,True,374
Vanilla OPD,24,6,0,24/6/0,15,30,True,375
Vanilla OPD,24,7,0,24/7/0,17,17,False,376
Vanilla OPD,24,8,0,24/8/0,20,30,True,377
Vanilla OPD,24,9,0,24/9/0,7,7,False,378
Vanilla OPD,24,10,0,24/10/0,4,4,False,379
Vanilla OPD,24,11,0,24/11/0,25,30,True,380
Vanilla OPD,24,12,0,24/12/0,12,30,True,381
Vanilla OPD,24,13,0,24/13/0,11,11,False,382
Vanilla OPD,24,14,0,24/14/0,8,8,False,383
Vanilla OPD,24,15,0,24/15/0,21,30,True,384
Vanilla OPD,25,0,0,25/0/0,25,30,True,385
Vanilla OPD,25,1,0,25/1/0,7,7,False,386
Vanilla OPD,25,2,0,25/2/0,8,8,False,387
Vanilla OPD,25,3,0,25/3/0,21,30,True,388
Vanilla OPD,25,4,0,25/4/0,12,30,True,389
Vanilla OPD,25,5,0,25/5/0,18,30,True,390
Vanilla OPD,25,6,0,25/6/0,11,11,False,391
Vanilla OPD,25,7,0,25/7/0,5,5,False,392
Vanilla OPD,25,8,0,25/8/0,14,14,False,393
Vanilla OPD,25,9,0,25/9/0,21,30,True,394
Vanilla OPD,25,10,0,25/10/0,18,30,True,395
Vanilla OPD,25,11,0,25/11/0,10,10,False,396
Vanilla OPD,25,12,0,25/12/0,15,30,True,397
Vanilla OPD,25,13,0,25/13/0,13,30,True,398
Vanilla OPD,25,14,0,25/14/0,14,30,True,399
Vanilla OPD,25,15,0,25/15/0,15,30,True,400
Vanilla OPD,26,0,0,26/0/0,16,30,True,401
Vanilla OPD,26,1,0,26/1/0,23,30,True,402
Vanilla OPD,26,2,0,26/2/0,14,14,False,403
Vanilla OPD,26,3,0,26/3/0,11,11,False,404
Vanilla OPD,26,4,0,26/4/0,4,4,False,405
Vanilla OPD,26,5,0,26/5/0,5,5,False,406
Vanilla OPD,26,6,0,26/6/0,23,30,True,407
Vanilla OPD,26,7,0,26/7/0,10,10,False,408
Vanilla OPD,26,8,0,26/8/0,17,30,True,409
Vanilla OPD,26,9,0,26/9/0,16,30,True,410
Vanilla OPD,26,10,0,26/10/0,21,30,True,411
Vanilla OPD,26,11,0,26/11/0,18,30,True,412
Vanilla OPD,26,12,0,26/12/0,22,30,True,413
Vanilla OPD,26,13,0,26/13/0,27,30,True,414
Vanilla OPD,26,14,0,26/14/0,27,30,True,415
Vanilla OPD,26,15,0,26/15/0,10,10,False,416
Vanilla OPD,27,0,0,27/0/0,16,30,True,417
Vanilla OPD,27,1,0,27/1/0,5,5,False,418
Vanilla OPD,27,2,0,27/2/0,15,30,True,419
Vanilla OPD,27,3,0,27/3/0,18,30,True,420
Vanilla OPD,27,4,0,27/4/0,20,30,True,421
Vanilla OPD,27,5,0,27/5/0,13,30,True,422
Vanilla OPD,27,6,0,27/6/0,21,30,True,423
Vanilla OPD,27,7,0,27/7/0,17,30,True,424
Vanilla OPD,27,8,0,27/8/0,15,30,True,425
Vanilla OPD,27,9,0,27/9/0,4,4,False,426
Vanilla OPD,27,10,0,27/10/0,7,7,False,427
Vanilla OPD,27,11,0,27/11/0,17,17,False,428
Vanilla OPD,27,12,0,27/12/0,25,30,True,429
Vanilla OPD,27,13,0,27/13/0,16,30,True,430
Vanilla OPD,27,14,0,27/14/0,15,30,True,431
Vanilla OPD,27,15,0,27/15/0,7,7,False,432
Vanilla OPD,28,0,0,28/0/0,14,30,True,433
Vanilla OPD,28,1,0,28/1/0,14,30,True,434
Vanilla OPD,28,2,0,28/2/0,21,30,True,435
Vanilla OPD,28,3,0,28/3/0,18,30,True,436
Vanilla OPD,28,4,0,28/4/0,17,30,True,437
Vanilla OPD,28,5,0,28/5/0,16,30,True,438
Vanilla OPD,28,6,0,28/6/0,16,30,True,439
Vanilla OPD,28,7,0,28/7/0,18,30,True,440
Vanilla OPD,28,8,0,28/8/0,16,16,False,441
Vanilla OPD,28,9,0,28/9/0,14,30,True,442
Vanilla OPD,28,10,0,28/10/0,15,30,True,443
Vanilla OPD,28,11,0,28/11/0,16,30,True,444
Vanilla OPD,28,12,0,28/12/0,27,30,True,445
Vanilla OPD,28,13,0,28/13/0,8,8,False,446
Vanilla OPD,28,14,0,28/14/0,18,30,True,447
Vanilla OPD,28,15,0,28/15/0,21,21,False,448
Vanilla OPD,29,0,0,29/0/0,4,4,False,449
Vanilla OPD,29,1,0,29/1/0,23,30,True,450
Vanilla OPD,29,2,0,29/2/0,21,30,True,451
Vanilla OPD,29,3,0,29/3/0,20,30,True,452
Vanilla OPD,29,4,0,29/4/0,13,13,False,453
Vanilla OPD,29,5,0,29/5/0,18,30,True,454
Vanilla OPD,29,6,0,29/6/0,18,30,True,455
Vanilla OPD,29,7,0,29/7/0,6,6,False,456
Vanilla OPD,29,8,0,29/8/0,22,30,True,457
Vanilla OPD,29,9,0,29/9/0,8,8,False,458
Vanilla OPD,29,10,0,29/10/0,7,7,False,459
Vanilla OPD,29,11,0,29/11/0,27,30,True,460
Vanilla OPD,29,12,0,29/12/0,16,30,True,461
Vanilla OPD,29,13,0,29/13/0,5,5,False,462
Vanilla OPD,29,14,0,29/14/0,15,30,True,463
Vanilla OPD,29,15,0,29/15/0,22,30,True,464
Vanilla OPD,30,0,0,30/0/0,6,6,False,465
Vanilla OPD,30,1,0,30/1/0,4,4,False,466
Vanilla OPD,30,2,0,30/2/0,13,13,False,467
Vanilla OPD,30,3,0,30/3/0,12,30,True,468
Vanilla OPD,30,4,0,30/4/0,17,30,True,469
Vanilla OPD,30,5,0,30/5/0,19,30,True,470
Vanilla OPD,30,6,0,30/6/0,22,30,True,471
Vanilla OPD,30,7,0,30/7/0,21,30,True,472
Vanilla OPD,30,8,0,30/8/0,17,30,True,473
Vanilla OPD,30,9,0,30/9/0,6,6,False,474
Vanilla OPD,30,10,0,30/10/0,12,12,False,475
Vanilla OPD,30,11,0,30/11/0,9,9,False,476
Vanilla OPD,30,12,0,30/12/0,24,30,True,477
Vanilla OPD,30,13,0,30/13/0,22,30,True,478
